PMDB,PT,PSDB,PP,PR,PSD,PSB,DEM,PRB,PDT,PTB,SD,PTN,PCdoB,PSC,PPS,PHS,PV,PSOL,PROS,REDE,PTdoB,PEN,PSL,PMB,PRP,ano,municipio_codigo,cargo_codigo,partido_codigo,coligacao,populacao,latitude,longitude,estado,municipio,cargo,tipo,partido,coligacao_nome,coligacao_partidos,candidaturas_mun
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,23272,11,25,0,252636.38,-8.8100004,-35.18,PE,BARREIROS,PREFEITO,PARTIDO ISOLADO,DEM,#NULO#,DEM,4
1,0,0,1,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2016,23272,11,,1,252636.38,-8.8100004,-35.18,PE,BARREIROS,PREFEITO,COLIGACAO,PP,O DESENVOLVIMENTO NÃO PODE PARAR,PP / PMDB / PSL / PSB / PSD / PC do B / SD,4
0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,1,0,0,1,0,0,0,2016,23272,11,,1,252636.38,-8.8100004,-35.18,PE,BARREIROS,PREFEITO,COLIGACAO,PDT,MUDANÇA PELA ESPERANÇA,PDT / PSC / PPS / PSDC / PHS / PTC / PEN / PROS / PRP,4
0,1,0,0,0,0,0,0,1,1,1,0,0,1,0,1,1,0,0,1,0,1,1,0,0,0,2016,23280,11,,1,104453.51,-8.7600002,-35.099998,PE,TAMANDARÉ,PREFEITO,COLIGACAO,PTB,"RESPEITO AO POVO, AMOR A TAMANDARE",PTB / PT / PHS / PT do B / PRB / PRTB / PDT / PROS / PPS / PEN / PC do B,3
0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,23280,11,,1,104453.51,-8.7600002,-35.099998,PE,TAMANDARÉ,PREFEITO,COLIGACAO,PSB,CONSTRUINDO TAMANDARÉ,PSB / PTC / PR / SD / PP,3
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,23280,11,33,0,104453.51,-8.7600002,-35.099998,PE,TAMANDARÉ,PREFEITO,PARTIDO ISOLADO,PMN,#NULO#,PMN,3
0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2016,23299,11,,1,92080.344,-8.6099997,-35.799999,PE,BELÉM DE MARIA,PREFEITO,COLIGACAO,PTB,UNIDOS POR BELÉM E BATATEIRA,PTB / PR / DEM / PTC / PV / SD,2
0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2016,23299,11,,1,92080.344,-8.6099997,-35.799999,PE,BELÉM DE MARIA,PREFEITO,COLIGACAO,PDT,FRENTE POPULAR DE BELEM DE MARIA E BATATEIRA,PDT / PP / PPS / PSB / PSDB / PSD,2
0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2016,23302,11,,1,66773.766,-8.7200003,-35.790001,PE,JAQUEIRA,PREFEITO,COLIGACAO,PSD,CONSTRUINDO UM NOVO FUTURO,PSD / SD / PSL / PSDB,2
0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2016,23302,11,,1,66773.766,-8.7200003,-35.790001,PE,JAQUEIRA,PREFEITO,COLIGACAO,PT,JUNTOS SOMOS MAIS FORTES,PT / PSB / PTN / PROS / PPS,2
