ano	estado	municipio	partido	prefeito
1996	PI	ILHA GRANDE	PSDB	HENRIQUE PENARANDA SERTAO MACHADO
1996	SE	PORTO DA FOLHA	PMDB	JOSE JULIO NUNES DE SANTANA GOMES
1996	TO	PINDORAMA DE GOIAS	PTB	ANTONIO SERGIO FERNANDES BATISTA
1996	SP	AMPARO	PPB	CARLOS PIFFER
1996	RO	ALTO ALEGRE DOS PARECIS	PSDB	VITORIA DE FATIMA BETELLI DA SILVA
2004	AP	LARANJAL DO JARI	PP	EURICELIA MELO CARDOSO LOBO
2012	AP	MACAP?	PSOL	CLECIO LUIS VILHENA VIEIRA
1996	GO	CAMPESTRE DE GOIAS	PSDB	MAX RODRIGUES DE OLIVEIRA
2008	PR	PIRA? DO SUL	PTB	ANTONIO EL ACHKAR
2008	AP	LARANJAL DO JARI	PP	EURICELIA MELO CARDOSO
2004	PA	NOVO REPARTIMENTO	PSB	BERSAJONE MOURA
2012	PA	MARAPANIM	PR	ELZA EDILENE REBELO DE MORAES
2008	GO	PLANALTINA	PSC	JOSE OLINTO NETO
1996	AC	PORTO ACRE	PFL	JOSE RUY COELHO DE ALBUQUERQUE
2008	MG	JUIZ DE FORA	PSDB	CUST?DIO ANT?NIO DE MATTOS
2004	MG	LUZ	PT	AGOSTINHO CARLOS OLIVEIRA
2012	MG	LAGOA DA PRATA	PDT	PAULO CESAR TEODORO
2004	SC	ITAPOA	PMDB	SERGIO FERREIRA DE AGUIAR
2012	SC	ITAPO?	PMDB	SERGIO FERREIRA DE AGUIAR
1996	GO	ALEXANIA	PL	IRACI ANTONIO DAVI
2004	MA	LAGO DOS RODRIGUES	PFL	ANTONIO NAZARENO MACEDO PIMENTEL
2012	MA	ICATU	DEM	JOSê RIBAMAR MOREIRA GONÄALVES
1996	AP	PORTO GRANDE	PT	RAIMUNDO NONATO DO NASCIMENTO OLIVEIRA
1996	SP	GUARUJA	PTB	MAURICI MARIANO
2004	SP	ASSIS	PFL	êZIO SPERA
2012	SP	BANANAL	PV	MIRIAN FERREIRA DE OLIVEIRA BRUNO
2000	RO	BURITIS	PT	JOSê ALFREDO VOLPI
2000	RS	PELOTAS	PT	FERNANDO STEPHAN MARRONI
1996	RO	VALE DO ANARI	PMDB	EMES SOARES MAIA
2000	MA	MARACACUME	PP	PAULO GERMANO DE SOUZA
2004	MG	DORES DE CAMPOS	PMDB	ILIDIO ANTONIO DE MELO NETO
2012	MG	FORMIGA	PMDB	MOACIR RIBEIRO DA SILVA
1996	SP	SOROCABA	PSDB	RENATO FAUVEL AMARY
2000	MG	MANHUMIRIM	PMDB	ERVAL DE AZEVEDO MENDES
2000	SP	PIRACUNUNGA	PL	JO?O CARLOS SUNDFELD
1996	RO	CEREJEIRAS	PDT	MANOEL FRANCISCO DE ALMEIDA
1996	RO	PIMENTA BUENO	PSB	MARIA INES BAPTISTA DA SILVA ZANOL
2004	SP	SAO SIMAO	PSDB	MARCELO APARECIDO DOS SANTOS
2012	SP	S?O PAULO	PT	FERNANDO HADDAD
2000	SP	APARECIDA	PFL	JOSE LUIZ RODRIGUES
2000	AM	AMATURA	PMDB	LUIZ PEREIRA
2008	SP	S?O LOURENÄO DA SERRA	DEM	LENER DO NASCIMENTO RIBEIRO
1996	PE	GOIANA	PFL	OSVALDO RABELO FILHO
2000	MS	SAO GABRIEL DO OESTE	PDT	AD?O UN?RIO ROLIM
2000	MG	BRAZOPOLIS	PT	JOAO MAURO BERNARDO
2004	RN	ARES	PSB	LUCIA DE SOUZA SANTOS
2012	RJ	VALENÄA	PRB	ALVARO CABRAL DA SILVA
1996	BA	SANTA MARIA DA VITORIA	PSC	NERY PEREIRA BATISTA
2004	SP	ANDRADINA	PPS	ERNESTO ANTONIO DA SILVA
2012	SP	ASSIS	PSDB	RICARDO PINHEIRO SANTANA
2008	SC	BOMBINHAS	PP	MANOEL MARC?LIO DOS SANTOS
1996	SP	SANTA BRANCA	PPS	MARCILIO PEREIRA CAMPOS FILHO
2004	TO	AUGUSTINOPOLIS	PFL	NILO DE MELO
2012	TO	PARA?SO DO TOCANTINS	PMDB	MOISêS NOGUEIRA AVELINO
2000	PA	FLORESTA DO ARAGUAIA	PTB	CARLOS BELIZARIO PINTO DE MORAES
2008	SC	S?O FRANCISCO DO SUL	PP	LUIS ROBERTO DE OLIVEIRA
1996	SP	PERUIBE	PSDB	ALBERTO SANCHES GOMES
2000	PR	PARANAVAI	PSDB	DEUSDETE FERREIRA DE CERQUEIRA
2004	MA	PRESIDENTE VARGAS	PSC	RAIMUNDO BARTOLOMEU SANTOS AGUIAR
2012	MA	S?O JO?O DO PARA?SO	PRB	JOSE ALDO RIBEIRO SOUZA
1996	SP	RINOPOLIS	PPB	ANTONIO PINHEIRO NETO
1996	BA	FEIRA DE SANTANA	PPB	JOSE FALCAO DA SILVA
2000	RO	SERINGUEIRAS	PMDB	JOAQUIM DOMINGOS BOARIA
2000	SP	MIRACATU	PP	ITAMAR TAVARES DE MENDONÄA
1996	SE	ITAPORANGA D AJUDA	PPS	CESAR FONSECA MANDARINO
2004	SP	BOITUVA	PSDC	ASSUNTA MARIA LABRONICI GOMES
2012	SP	BEBEDOURO	DEM	FERNANDO GALV?O MOURA
1996	SE	BARRA DOS COQUEIROS	PFL	GILSON DOS ANJOS SILVA
2000	AM	TEFE	PTB	FRANCISCO HêLIO BEZERRA BESSA
2000	RJ	BARRA DO PIRAI	PSB	CARLOS CELSO BALTHAZAR DA NOBREGA
2004	GO	ADELANDIA	PMDB	MAURICIO MARTINS DE FREITAS
2012	GO	ABADI?NIA	PR	WILMAR GOMES ARANTES
1996	AL	ATALAIA	PSD	SEBASTIAO PEREIRA ACIOLI
2004	RJ	PIRAI	PMDB	ARTHUR HENRIQUE GONÄALVES FERREIRA
2012	RJ	PETR?POLIS	PSB	RUBENS JOSê FRANÄA BOMTEMPO
1996	CE	LIMOEIRO DO NORTE	PSD	JOSE DE OLIVEIRA BANDEIRA
2004	SP	CABREUVA	PMDB	CLAUDIO ANTONIO GIANNINI
2012	SP	CABR?LIA PAULISTA	PSB	ODEMIL ORTIZ DE CAMARGO
