ano	estado	municipio	partido	prefeito
2004	MS	PARANAIBA	PL	MANOEL ROBERTO OVIDIO
2012	MS	RIBAS DO RIO PARDO	PSDB	JOSê DOMINGUES RAMOS
2000	RS	ENTRE RIOS DO SUL	PMDB	PEDRO SIGNOR
2000	TO	SUCUPIRA	PP	ALDENIRA ASEVEDO DO R?GO
1996	SP	PRESIDENTE BERNARDES	PSDB	JULIO OMAR RODRIGUES
2004	RN	BOA SAUDE	PL	MARIA EDICE FRANCISCO E FELIX
2008	MA	IMPERATRIZ	PSDB	SEBASTIAO TORRES MADEIRA
2008	PI	FRONTEIRAS	PDT	OSMAR SOUSA
2008	PR	BARRAC?O	DEM	JOAREZ LIMA HENRICHS
2008	SP	MONTE APRAZ?VEL	PTB	WANDERLEY JOSê CASSIANO SANT'ANNA
2012	RN	ALTO DO RODRIGUES	DEM	ABELARDO RODRIGUES FILHO
2000	SC	RIO DOS CEDROS	PFL	Marildo Domingos Felippi
2004	MA	JATOBA	PMDB	EDNAURA PEREIRA DA SILVA
2004	PR	RENASCENCA	PMDB	GERALDO GIACOMINI
2012	MA	GUIMAR?ES	PMDB	NILCE DE JESUS FARIAS RIBEIRO
2012	PR	QUITANDINHA	PMDB	MARCIO NERI DE OLIVEIRA
1996	RJ	CAMBUCI	PMDB	AGNALDO PERES MELLO
1996	PB	CATURITE	PFL	JOSE DO EGITO BEZERRA CABRAL
1996	BA	NOVA REDENCAO	PL	LUCIANO CEZAR GOMES AZEVEDO
2004	RN	MONTE DAS GAMELEIRAS	PPS	REGINALDO FELIX DE PONTES
2012	RN	MOSSOR?	DEM	CLAUDIA REGINA FREIRE DE AZEVEDO
1996	MG	ITAMARATI DE MINAS	PDT	JOSE AMERICO FERRAZ
1996	SC	IRACEMINHA	PDT	ROSALINO AUGUSTO DALMOLIN
1996	RN	JOAO CAMARA	PFL	ARIOSVALDO TARGINO ARAUJO
2000	PR	OURO VERDE DO OESTE	PPS	CARLOS FRANCO DE SOUZA
2000	RS	TRES DE MAIO	PT	ALTAIR FRANCISCO COPATTI
2004	PR	ABATIA	PMDB	IRTON OLIVEIRA MUZEL
2012	PR	ABATI?	DEM	MARIA DE LOURDES FERRAZ YAMAGAMI
2004	SC	OURO	PFL	JOSê CAMILO PASTORE
2008	BA	MUNIZ FERREIRA	PR	ANTONIO RODRIGUES DO NASCIMENTO FILHO
2008	ES	MIMOSO DO SUL	PMDB	ANGELO GUARÄONI JUNIOR
2008	MG	CRISTIANO OTONI	PMDB	JOSE NERY
2008	RS	PALMITINHO	PDT	JAIR ALBERTO ALBARELLO
2012	SC	OURO VERDE	PT	ROSANE MINETTO SELIG
2004	PI	ANISIO DE ABREU	PDT	AURICELIO RIBEIRO
2012	PE	VIT?RIA DE SANTO ANT?O	PSD	ELIAS ALVES DE LIRA
1996	SP	SANTA LUCIA	PDT	ANTONIO CARLOS MARTINS
2000	PA	CONCEICAO DO ARAGUAIA	PMDB	JOSENVALTO REIS DE SOUSA
2004	MG	GOIANA	PFL	JOSê LOURES CICONELI
2012	MG	FRUTA DE LEITE	PR	NIXON MARLON GONÄALVES DAS NEVES
2000	SC	PIRATUBA	PFL	Nelson Minks
2000	PE	EXU	PFL	ANTONIO ZILCLêCIO PINTO SARAIVA
2004	RS	TAPEJARA	PP	JULIANO GIRARDI
2012	RS	SENTINELA DO SUL	PP	JULIO CESAR CARVALHO
2004	SC	PAIAL	PMDB	ADELMO LUIS BRAATZ
2012	SC	MONTE CASTELO	PMDB	ALDOMIR ROSKAMP
1996	CE	ALTO SANTO	PPB	MOACIR BEZERRA FREIRE
1996	BA	TANQUINHO	PFL	JOAO BISPO SOARES DA CRUZ
2008	MG	ITUIUTABA	PMDB	P?BLIO CHAVES
2008	PB	S?O SEBASTI?O DO UMBUZEIRO	DEM	FRANCISCO ALIPIO NEVES
2008	RS	MAÄAMBARA	PMDB	ALDERICO DOMINGOS COPATTI
1996	PB	CONGO	PFL	BRAZ FERNANDES DE OLIVEIRA
2004	RS	SAO JOSE DO SUL	PP	MARIO JAC? ROHR
2012	RS	S?O JO?O DO POL?SINE	PMDB	VALSERINA MARIA BULEGON GASSEN
1996	BA	GAVIAO	PMN	HUMBERTO JOSE VIEIRA
2000	BA	IPIRA	PFL	LUIZ CARLOS SANTOS MARTINS
2000	PR	SAO JOAO DO IVAI	PFL	IVENS SIM?O
2004	MG	SAO BRAS DO SUACUI	PT	LUIZ CARLOS FERNANDES
2012	MG	SANTO ANT?NIO DO GRAMA	PP	ALCIONE FERREIRA DE ALBUQUERQUE LIMA
2004	RN	AREIA BRANCA	PP	MANOEL CUNHA NETO
2012	RN	EQUADOR	DEM	NOEIDE CLEMENS FERREIRA DE OLIVEIRA
1996	RJ	SAO GONCALO	PDT	EDSON EZEQUIEL DE MATOS
2000	RS	CAMPOS BORGES	PP	OLIVAN ANTONIO DE BORTOLI
1996	SE	CEDRO DE SAO JOAO	PFL	ANGELA MARIA DE FRAGA SOUZA
2000	RS	SAO JOSE DAS MISSOES	PDT	AMADOR PINHEIRO DOS SANTOS NETO
1996	SP	ARTUR NOGUEIRA	PSDB	NELSON STEIN
2000	BA	SANTALUZ	PMDB	JOELCIO MARTINS DA SILVA
2008	BA	SANTO ANT?NIO DE JESUS	DEM	EUVALDO  DE ALMEIDA ROSA
2008	BA	TEOL?NDIA	PMDB	ANTONIO SANTANA JUNIOR
2008	MS	JATE?	PSDB	ARILSON NASCIMENTO TARGINO
1996	PB	SAO JOSE DA LAGOA TAPADA	PDT	FRANCISCO AMILTON DE SOUSA
2004	SE	CEDRO DE SAO JOAO	PTB	MARCOS DA COSTA SANTANA
2012	SE	INDIAROBA	PT	JOSE LEAL DA COSTA BITENCOURT
1996	PE	LAJEDO	PDT	ANTONIO JOAO DOURADO
2000	BA	SAUDE	PFL	MARILENE PEREIRA ROCHA
2000	AM	ITAPIRANGA	PMDB	JO?O DE DEUS PLINIO MARQUES
1996	BA	SAO JOSE DO JACUIPE	PMDB	DANIEL ALVES DE SOUSA
1996	SE	CAMPO DO BRITO	PFL	ANTONIO TAVARES DE ANDRADE
2000	RS	NOVA PADUA	PDT	DORVALINO PAN
2000	SP	SALES	PFL	JOSê ANT?NIO AM?NDOLA
2004	PI	SAO JULIAO	PPS	FRANCISCO CARLOS XAVIER FERREIRA DAS CHAGAS
2012	PI	S?O RAIMUNDO NONATO	PSD	AVELAR DE CASTRO FERREIRA
1996	SC	VARGEAO	PFL	ANELCI CESAR DANIELLI
2000	PB	REMIGIO	PL	PAULO CESAR DE SOUZA
2008	BA	JANDA?RA	PMDB	ROBERTO CARLOS LEITE DE AVILA
2008	BA	S?O DOMINGOS	DEM	IZAQUE RIOS DA COSTA JUNIOR
2008	MG	CORINTO	PSDB	NILTON FERREIRA DA SILVA
2008	SC	TREVISO	PMDB	JO?O REUS ROSSI
2008	SP	SANTA RITA D'OESTE	PSDB	WALTER MARTINS MULLER
2008	TO	PIUM	PMDB	NILTON BANDEIRA FRANCO
2000	PR	CIDADE GAUCHA	PSDB	ANTONIO MILTON DE OLIVEIRA LUCENA
1996	PB	PRATA	PRP	HUMBERTO FELIX DE MENEZES
1996	PI	BARRAS	PMDB	ELIAS CAVALCANTE DO NASCIMENTO
2000	PR	RIO BONITO DO IGUACU	PMDB	SEZAR AUGUSTO BOVINO
2004	PB	ITAPORANGA	PMDB	ANTONIO PORCINO SOBRINHO
2004	SP	RUBINEIA	PMDB	APARECIDO GOULART
2012	PB	ESPERANÄA	PSC	ANDERSON MONTEIRO COSTA
2012	SP	RINC?O	PT	AMARILDO DUDU BOLITO
2000	RN	BARCELONA	PP	CARLOS ZAMITH DE SOUZA
2000	RS	HERVAL	PTB	RUBEM DARI WILHELNSEN
1996	CE	PENAFORTE	PMDB	CORNELIO PEREIRA MUNIZ DE BARROS
1996	SE	JAPARATUBA	PFL	PEDRO MOURA NETO
2000	PI	SAO JOAO DO ARRAIAL	PMDB	BERNARDO ARA?JO ROCHA
1996	PB	CAICARA	PMDB	LUIZ GONZAGA DE CARVALHO
1996	SP	ARIRANHA	PTB	DIRCEU RAFAEL APENDINO
1996	MG	TIMOTEO	PSDB	JOSE ANCHIETA DE MATTOS PEREIRA POGGIALI
1996	PI	PAJEU DO PIAUI	PFL	FRANCISCO RODRIGUES PIAUILINO
2004	BA	BARRA DO ROCHA	PT do B	J?NATAS VENTURA DOS SANTOS
2008	BA	CONDE	PMDB	ANTONIO ELIUD SOUSA DE CASTRO
2008	PB	S?O JOSê DOS RAMOS	DEM	MARIA APARECIDA RODRIGUES DE AMORIM
2008	RN	PARNAMIRIM	PDT	MAUR?CIO MARQUES DOS SANTOS
2008	SC	S?O JOSê DO CERRITO	PSDB	JOSE MARIA DE OLIVEIRA BRANCO
2012	BA	ARACATU	PV	SERGIO SILVEIRA MAIA
2004	SP	TACIBA	PP	HELY VALDO BATISTELA
2012	SP	TABAPU?	PSDB	JAMIL SERON
1996	MG	LAMIM	PDT	MARIO XISTO DE ASSIS
1996	TO	PORTO ALEGRE DO TOCANTINS	PPB	FRANCISCO ARAUJO CARVALHO
1996	BA	TEOLANDIA	PFL	JOAO RAMOS DE OLIVEIRA
2000	MA	PRIMEIRA CRUZ	PMDB	JO?O TEODORO NUNES NETO
2004	BA	PIATA	PFL	ALENCAR JULI?O DIAS FILHO
2012	BA	Pê DE SERRA	PT	HILDEFONSO VIT?RIO DOS SANTOS
2004	BA	HELIOPOLIS	PFL	JOSê EM?DIO TAVARES DE ALMEIDA SANTOS
2012	BA	FILADêLFIA	PDT	ANTONIO BARBOSA DOS SANTOS JUNIOR
2000	PE	SAO LOURENCO DA MATA	PMDB	JAIRO PEREIRA DE OLIVEIRA
2004	AL	MACEIO	PDT	JOSê C?CERO SOARES DE ALMEIDA
2004	CE	GUARAMIRANGA	PPS	FRANCISCO ILTON CAMBê BARROZO
2004	GO	GOIAS	PMDB	ABNER DE CASTRO CURADO
2004	RS	AMARAL FERRADOR	PMDB	PEDRO PAULO EYMAEL MARQUES
2004	RS	GIRUA	PP	DARI PAULO PRESTES TABORDA
2012	AL	CRA?BAS	PTB	BRUNO ALBUQUERQUE DE FARIAS SANTOS
2012	CE	ITATIRA	PSB	ANTONIO ALMIR BIE DA SILVA
2012	GO	FAZENDA NOVA	PSD	DANIEL MARTINS MARIANO
2012	RS	ARATIBA	PTB	LUIZ ANGELO POLETTO
2012	RS	FONTOURA XAVIER	PSB	TIAGO ZANOTELLI
2004	RN	TIBAU	PFL	FRANCISCO NILO NOLASCO
2008	AL	JACARê DOS HOMENS	PP	JOSE ERNESTO SILVA JUNIOR
2008	MT	BRASNORTE	PR	MAURO RUI HEISLER
2008	PE	BELO JARDIM	DEM	MARCOS ANTONIO DA SILVA
2008	PE	CARPINA	PSDB	MANUEL SEVERINO DA SILVA
2008	PE	CUMARU	DEM	EDUARDO GONÄALVES TABOSA JUNIOR
2008	PR	CORBêLIA	PP	ELIEZER JOSE FONTANA
2012	RN	TIMBA?BA DOS BATISTAS	PMDB	CHILON BATISTA DE ARAUJO NETO
2004	MA	GOVERNADOR NUNES FREIRE	PRTB	MARIA REGINA  DA COSTA BASTOS
2012	MA	GOVERNADOR NUNES FREIRE	PV	MARCEL EVERTON DANTAS SILVA
2000	RN	CAICO	PP	ROBERTO MEDEIROS GERMANO
2004	GO	ITAJA	PFL	LUCIANO LE?O
2012	GO	ITABERA?	PRTB	CARLOS ROBERTO DA SILVA
2004	MG	SANTA MARIA DO SALTO	PL	EDIMILSON RENON
2012	MG	SANTA HELENA DE MINAS	PSDB	ALDENES GONÄALVES FRANCO
2000	MG	CAXAMBU	PMDB	MARCUS NAGIB GADBEN
2004	SC	GUABIRUBA	PMDB	ORIDES KORMANN
2008	AL	VIÄOSA	PTB	FLAUBERT TORRES FILHO
2008	BA	CAATIBA	PMDB	OMAR SOUSA BARBOSA
2008	MG	S?O THOMê DAS LETRAS	PPS	JOSê ROBERTO DA SILVA
2008	PE	JATOB?	PSB	JO?O GOMES DE ARAUJO
2008	PR	TERRA RICA	PSL	DEVALMIR MOLINA GONÄALVES
2012	SC	GUARUJ? DO SUL	PSDB	JOSê CARLOS FOIATTO
2004	MA	IGARAPE GRANDE	PFL	EDVALDO LOPES GALVAO
2012	MA	GODOFREDO VIANA	PTB	MARCELO JORGE TORRES
1996	PE	RECIFE	PFL	ROBERTO MAGALHAES MELO
1996	GO	ESTRELA DO NORTE	PMDB	ILDOESTE BARBOSA FILHO
2000	SC	LAURENTINO	PMDB	Arduino Nardelli
2000	PB	SANTA RITA	PMDB	SEVERINO MAROJA
2004	PR	TAMBOARA	PL	LUIS ROGERIO GIMENEZ
2012	PR	TAMBOARA	PR	LUIZ ROGERIO GIMENEZ
1996	SC	ARMAZEM	PFL	TADEU WENSING
2004	GO	FLORES DE GOIAS	PT	ANTONIO DO ROSARIO GUALBERTO DE BRITO
2012	GO	CRISTIAN?POLIS	PSDB	JAIRO GOMES PEREIRA JUNIOR
2000	GO	SAO DOMINGOS	PSDB	HELIO REGIS VALENTE
2004	RS	CERRO GRANDE DO SUL	PP	ELTON WOLFLE SCHWALM
2008	BA	RETIROL?NDIA	PMDB	JOSE ALBERICO SILVA MOREIRA
2008	GO	PILAR DE GOI?S	PSDB	JOAQUIM SANTANA RAMOS BATISTA
2008	SC	MIRIM DOCE	PMDB	MARIA LUIZA KESTRING LIEBSCH
2012	RS	COLORADO	PMDB	LIRIO RIVA
2004	MG	SANTO ANTONIO DO AMPARO	PMDB	EVANDRO PAIVA CARRARA
2012	MG	SANTANA DO RIACHO	PTB	ANDRê FERREIRA TORRES
2000	MG	SANTA BARBARA DO MONTE VERDE	PL	JOSE GERALDO DUQUE
2004	PA	IGARAPE-MIRI	PFL	DILZA MARIA PANTOJA CORR?A
2012	PA	CAPIT?O POÄO	PP	ANTONIA DIANA MOTA DE OLIVEIRA
2000	RS	ITATIBA DO SUL	PT	WOLMIR ANGELO DALL AGNOL
2004	ES	RIO NOVO DO SUL	PMDB	ESTEVAM ANT?NIO FI?RIO
2012	ES	RIO BANANAL	PP	EDIMILSON SANTO ELIZIARIO
2004	TO	DOIS IRMAOS DO TOCANTINS	PSDB	JOAO CARLOS BOTELHO MARTINS
2012	TO	PRAIA NORTE	PSB	JADER JAIME FELIX PINHEIRO
2000	MG	DIVINOPOLIS	PMDB	Galileu Teixeira Machado
2000	MA	BREJO	PFL	TEREZA CARLOTA CARVALHO CALDAS
1996	PR	RIO BOM	PSC	MAURO LUCAS CLEMENTINO
2000	PR	MARIA HELENA	PSL	JESSE BATISTA CORREA
1996	SC	AGRONOMICA	PMDB	SIGFRIED SCHLATTER
2000	PI	RIO GRANDE DO PIAUI	PDT	ANTONIO LUIS DA COSTA FEITOSA
2008	GO	SANTA ISABEL	DEM	LEVINO DE SOUZA SILVA
2008	PB	COXIXOLA	DEM	NELSON HONORATO DA SILVA
2008	RS	MACHADINHO	PMDB	ALGACIR VITAL POLO
2000	BA	LAJE	PFL	RAIMUNDO JOSê DE ALMEIDA
2004	RN	LAGOA SALGADA	PSB	FRANCISCO CANINDE FREIRE
2012	RN	IELMO MARINHO	PSD	BRUNO PATRIOTA MEDEIROS
1996	GO	POSSE	PPB	WANDA OLIVEIRA DA COSTA E SILVA
1996	MG	OLIMPIO NORONHA	PFL	CARLOS ALBERTO DE CASTRO PEREIRA
2000	PR	RESERVA	PTB	CARLOS MARIO JUSTUS MARTINS
2000	GO	ARENOPOLIS	PSD	Osvaldo Pinheiro Dantas
2004	MT	NOVA SANTA HELENA	PTB	ROQUE CARRARA
2012	MT	NOVA NAZARê	PSD	RAILDA DE FATIMA ALVES
1996	PE	PETROLINA	PFL	GUILHERME CRUZ DE SOUZA COELHO
2004	RN	RIACHO DA CRUZ	PFL	MARCOS AURêLIO DE PAIVA R?GO
2004	SP	ITAPEVA	PT	LUIZ ANTONIO HUSSNE CAVANI
2012	RN	PASSAGEM	DEM	JOSE PEREIRA SOBRINHO
2012	SP	ITAOCA	PSD	RAFAEL RODRIGUES DE CAMARGO
2004	RS	SERAFINA CORREA	PMDB	VALCIR SEGUNDO REGINATTO
2004	SP	SAO PEDRO	PSDB	EDUARDO SPERANZA MODESTO
2012	RS	SETE DE SETEMBRO	PMDB	ROSANE GRABIA
2012	SP	S?O JOSê DOS CAMPOS	PT	CARLOS JOSE DE ALMEIDA
2004	AL	QUEBRANGULO	PSB	MARCELO RICARDO VASCONCELOS LIMA
2004	RS	SAO PAULO DAS MISSOES	PMDB	JOSê ANTONIO RUWER
2012	AL	OLHO D'?GUA DO CASADO	PSDB	JOSE GUALBERTO PEREIRA
2012	RS	S?O JOSê DOS AUSENTES	PMDB	PAULO ROBERTO PAIM GUIMAR?ES
1996	MG	GUARACIAMA	PFL	FRANCISCO ADEVALDO SOARES PRAES
2000	PR	SAO JOSE DAS PALMEIRAS	PMDB	JOSê NERI DAS CHAGAS
2000	RS	ENCANTADO	PP	PAULO COSTI
2004	RS	PARAISO DO SUL	PP	ELMO IVO SCHMENGLER
2012	RS	OS?RIO	PDT	EDUARDO ALUISIO CARDOSO ABRAHAO
2008	MA	FORMOSA DA SERRA NEGRA	PSDB	ENêSIO LIMA MILHOMEM
2008	PB	IMACULADA	PSB	JOSê RIBAMAR DA SILVA
1996	MT	BARRA DO GARCAS	PFL	WANDERLEI FARIAS SANTOS
2000	SC	VARGEAO	PFL	Anelsi Cesar Danielli
1996	RN	JANDAIRA	PMDB	MANOEL MARTINS
2004	CE	SABOEIRO	PTB	PERBOYRE SILVA DIOGENES
2012	CE	POTIRETAMA	PRB	FRANCISCO ADELMO NOGUEIRA QUEIROZ DE AQUINO
2000	MG	CARRANCAS	PFL	HELY ANDRADE ALVES
2004	RO	CUJUBIM	PT	JO?O BECKER
2004	RS	GENERAL CAMARA	PHS	PAULO ROBERTO RAME
2012	RN	V?RZEA	PSD	GETULIO LUCIANO RIBEIRO
2012	RS	GET?LIO VARGAS	DEM	PEDRO PAULO PREZZOTTO
2000	MS	MIRANDA	PPS	ELIZABETHE DE PAULA PEREIRA ALMEIDA
1996	PE	PESQUEIRA	PSDB	EUTROPIO MONTEIRO LEITE
2004	RS	GRAMADO DOS LOUREIROS	PP	ANTONIO LEO LOUREIRO DE MELLO
2012	RS	FORQUETINHA	PP	WALDEMAR LAURIDO RICHTER
2000	PA	GURUPA	PT	RAIMUNDO MONTEIRO DOS SANTOS
1996	BA	CASA NOVA	PL	DAGMAR NOGUEIRA DOS SANTOS BRITO
1996	SC	ABELARDO LUZ	PFL	JOAO MARIA MARQUES ROSA
2008	MG	DIVIS?POLIS	PP	EUDER DE LIMA ROSEMBERG MENDES
2008	MG	EXTREMA	PSDB	LUIZ CARLOS BERGAMIN
2008	PE	PALMEIRINA	PSB	SEVERINO EUDSON CATAO FERREIRA
2008	PI	GUADALUPE	PDT	WALLEM RODRIGUES MOUSINHO
2008	RJ	MAGê	PMDB	NUBIA COZZOLINO
2008	RS	NOVA ARAÄ?	PMDB	AICARO UMBERTO FERRARI
2008	RS	S?O NICOLAU	PMDB	BENONE DE OLIVEIRA DIAS
2008	RS	TUPARENDI	PDT	ITALICO CIELO
2008	SC	SEARA	PDT	LACI GRIGOLO
2008	SP	GARÄA	PR	CORNELIO CEZAR KEMP MARCONDES
2000	CE	MADALENA	PSDB	ANTONIA LOBO PINHO LIMA
2004	GO	RUBIATABA	PSDC	JOSê LUIZ FERNANDES
2012	GO	S?O LUIZ DO NORTE	PMDB	JACOB FERREIRA
2000	RS	CACIQUE DOBLE	PFL	MAUCIR FANTIN
1996	CE	NOVA RUSSAS	PSDB	MARIA IRANEDE VERAS ROSA
2004	PR	NOVA LONDRINA	PMDB	ARLINDO ADELINO TROIAN
2012	PR	NOVA F?TIMA	PDT	NILSON XAVIER
2000	RS	SAO DOMINGOS DO SUL	PT	OSCAR GUERRA
1996	PR	SAO TOME	PDT	ANTONIO CABRERA DE SA
2004	RN	SAO JOSE DE MIPIBU	PFL	NORMA FERREIRA CALDAS
2012	RN	S?O JOSê DE MIPIBU	PMDB	ARLINDO DUARTE DANTAS
1996	MA	SENADOR LA ROQUE	PSC	ALFREDO NUNES DA SILVA
2004	RS	VISTA GAUCHA	PPS	VALDECIR JO?O CANSSI
2012	SC	?GUAS DE CHAPEC?	PMDB	ANDRê MAX TORMEN
2000	SC	MORRO DA FUMACA	PMDB	Claudionor de Vasconcelos
2004	MA	SAO PEDRO DOS CRENTES	PTB	ANTONIO COELHO DE ARRUDA
2004	PI	MORRO DO CHAPEU DO PIAUI	PMDB	LUC?DIO FORTES REB?LO
2008	PE	FREI MIGUELINHO	DEM	LUIS SEVERINO DA SILVA
2008	PR	SANTA ISABEL DO IVA?	PMDB	JOSê DO CARMO LAVAGNOLI
2008	RS	GRAMADO	PP	NESTOR TISSOT
2008	RS	SERT?O SANTANA	PP	SêRGIO TEIFKE
2012	MA	TUFIL?NDIA	PPS	RAIMUNDO ALVES LIMA NETO
2012	PI	PALMEIRA DO PIAU?	PRB	JOAO MARTINS DA LUZ
1996	ES	MUCURICI	PSDB	ADILSON GONCALVES FERREIRA
2000	SP	BARRINHA	PSD	MARCOS APARECIDO MARCARI
1996	PR	JOAQUIM TAVORA	PSDB	TARCIZO MESSIAS DOS SANTOS
2004	PE	TAQUARITINGA DO NORTE	PSDB	JOSê PEREIRA COELHO
2012	PI	BURITI DOS LOPES	PR	BERNILDO DUARTE VAL
1996	PR	ARIRANHA DO IVAI	PSDB	JOSE ALVES RODRIGUES
2004	MT	CLAUDIA	PSDB	ALTAMIR   KURTEN
2004	PR	ARAPOTI	PSDB	LUIZ FERNANDO DE MASI
2012	MT	MARCEL?NDIA	PSD	ARN?BIO VIEIRA DE ANDRADE
2012	PR	ALTAMIRA DO PARAN?	PSB	ELZA APARECIDA DA SILVA
1996	RN	CRUZETA	PMDB	GERALDO ALVES DA SILVA
1996	BA	CANDEIAS	PPB	ANTONIA MAGALHAES DA CRUZ
1996	MG	MENDES PIMENTEL	PSDB	JOSE DO CARMO DE SOUZA
1996	TO	SUCUPIRA	PMDB	JOSE CARLOS DE CARVALHO
2000	RS	GIRUA	PT	JOSE JOCEMIR ALVES DA SILVA
2000	RS	SANTO CRISTO	PMDB	CANISIO OST
2000	RS	SAO JORGE	PP	JOSê PAULO BOMBARDELLI
2008	MG	CARANDA?	PSDB	M?RIO DO LIVRAMENTO RODRIGUES PEREIRA
2008	MT	S?O JOSê DO POVO	DEM	JO?O BATISTA DE OLIVEIRA
2008	SC	BARRA BONITA	PP	PEDRO RODRIGUES DA SILVA
2008	SC	URUSSANGA	PP	LUIZ CARLOS ZEN
2000	RS	PORTO MAUA	PP	JOSê ANTONIO GRANDO
1996	CE	IPAUMIRIM	PSDB	JOSE MIRANEUDO LINHARES GARCIA
2004	GO	BRAZABRANTES	PSDB	JOSEILE FARIAS DE MENDONÄA
2004	PI	ANTONIO ALMEIDA	PSDB	JO?O BATISTA CAVALCANTE COSTA
2012	GO	CACHOEIRA DE GOI?S	PSC	PAULO FERNANDO DE SOUZA
2012	PI	AROEIRAS DO ITAIM	PTB	WESLEY GONÄALVES DE DEUS
2004	SE	JAPARATUBA	PT	GERARD LOTHAIRE JULES OLIVIER
2012	SE	RIBEIR?POLIS	PSB	JOAO FRANCISCO DA CUNHA
2000	BA	NOVA IBIA	PL	ASLAN VILAS BOAS BRITO
2004	SC	CAMPO BELO DO SUL	PP	FIRMINO ADERBAL CHAVES BRANCO
2012	SC	CANELINHA	PP	ANT?NIO DA SILVA
2000	MG	CARMO DA CACHOEIRA	PL	JOSê JOAQUIM DO PRADO
1996	TO	AURORA DO TOCANTINS	PFL	GEOVANE DE SOUZA TAVARES
2008	BA	MUCUG?	PDT	FERNANDO AZEVEDO MEDRADO
2008	GO	ANHANGöERA	PTB	WANDER PEREIRA DA CUNHA
2008	TO	ANGICO	PP	DEUSDETE BORGES PEREIRA
2004	MG	CANA VERDE	PSDB	ANTONIO CARLOS CIPRIANO CARNEIRO
2012	MG	CANA VERDE	PSDB	JEFERSON DE ALMEIDA
1996	MG	DORESOPOLIS	PSDB	NAZARIO MOREIRA NETO
2000	SP	RIBEIRAO PIRES	PT	MARIA IN?S SOARES FREIRE
2004	MG	RESSAQUINHA	PSL	MANOEL DA SILVA RIBEIRO
2012	MG	REDUTO	PT	JOSE CARLOS LOPES
2000	PR	SANTO ANTONIO DO SUDOESTE	PMDB	ZELIRIO PERON FERRARI
2000	SC	MONTE CARLO	PSDB	Marcos Leal Nunes
2004	BA	ARACI	PDT	JOSE ELIOTERIO DA SILVA ZEDAFO
2004	MG	CAMBUQUIRA	PSDB	MARCO VIN?CIUS MARQUES FêLIX
2004	PR	CAPITAO LEONIDAS MARQUES	PMDB	CLAUDIOMIRO QUADRI
2004	SE	ARAUA	PFL	JOSê RANULFO DOS SANTOS
2012	BA	BAIXA GRANDE	PT	PEDRO LIMA NETO
2012	MG	CAMPOS GERAIS	PMDB	MAURICIO RABELO
2012	PR	CAMPINA DO SIM?O	PT	LAURECI MIRANDA
2012	SE	AQUIDAB?	PMDB	JOSE CARLOS DOS SANTOS
1996	RN	PARELHAS	PFL	ARNAUD MACEDO DE OLIVEIRA
2000	RJ	SAO PEDRO DA ALDEIA	PSB	PAULO ROBERTO RAMOS LOBO
2004	MS	BATAGUACU	PT	JO?O CARLOS AQUINO LEMES
2012	MS	ANGêLICA	PSDB	LUIZ ANTONIO MILHORANÄA
1996	AL	MATRIZ DE CAMARAGIBE	PMDB	CICERO CAVALCANTE DE ARAUJO
2008	AM	CAREIRO	DEM	JOEL RODRIGUES LOBO
2008	CE	REDENÄ?O	PSB	FRANCISCA TORRES BEZERRA
2008	GO	ALO?NDIA	PSDB	CASSIO VIEIRA SAMPAIO
2008	RR	PACARAIMA	PSDB	ALTEMIR DA SILVA CAMPOS
1996	PE	LAGOA DE ITAENGA	PSB	SEBASTIAO JOSE DOS SANTOS
1996	PI	PEDRO LAURENTINO	PFL	JOSE LEITE DE SOUSA
1996	RS	ESPUMOSO	PMDB	MARIO LUIZ BERTANI
1996	BA	IBICOARA	PFL	ARNALDO SILVA PIRES
2000	RN	PATU	PSB	POSSIDONIO QUEIROGA DA SILVA NETO
1996	MS	CARACOL	PMDB	DILMAR DA SILVA LEITE
2000	MG	ITAMARANDIBA	PT	MARCIO GOMES
2004	PA	MARACANA	PMDB	RAIMUNDO QUEIROZ DE MIRANDA
2012	PA	ITAITUBA	PSD	ELIENE NUNES DE OLIVEIRA
2004	MG	AMPARO DO SERRA	PSDB	FRANCISCO PARADELA
2012	MG	ARAÄUA?	PT	ARMANDO JARDIM PAIXAO
1996	RS	PANTANO GRANDE	PPB	LUIZINHO MIGUEL BALEN
2004	RS	ROSARIO DO SUL	PDT	NEY DA SILVA PADILHA
2012	RS	RIO GRANDE	PT	ALEXANDRE DUARTE LINDENMEYER
1996	SC	PINHALZINHO	PPB	DARCI FIORINI
1996	PE	IBIRAJUBA	PDT	JOSE ALBERTINO LOPES DA GAMA
2000	PI	OEIRAS	PMDB	JOSê NOGUEIRA TAPETY NETO
2004	MA	LAJEADO NOVO	PV	ANTONIO PEREIRA DA SILVA
2012	MA	JOSEL?NDIA	PR	WABNER FEITOSA SOARES
2008	CE	ICAPU?	PSDB	JOSê EDILSON DA SILVA
2008	MA	S?O JOSê DOS BAS?LIOS	PDT	JO?O DA CRUZ FERREIRA
2008	MG	CARVALH?POLIS	PT	GILSON FERREIRA DE MORAES
2008	PE	BUENOS AIRES	PSDB	GISLAN DE ALMEIDA ALENCAR
2008	RO	VALE DO ANARI	PTN	EDIMILSON MATURANA DA SILVA
2008	RS	FELIZ	PMDB	CESAR LUIZ ASSMANN
1996	MG	CARANDAI	PMDB	PAULO ROBERTO BARBOSA DINIZ
